	TYPE	FIRMA	TİP	MODEL	GUC	KAPASİTE	SASE SERI NO	MOTOR SERI NO
No								
42	LASTİKLİ YÜKLEYİCİ	Caterpillar	950 GC	2020	202 HP	3,3 m3	M5K04701	E7A33445
43	LASTİKLİ YÜKLEYİCİ	Caterpillar	950 GC	2020	202 HP	3,3 m3	M5K04566	E7A29675
44	LASTİKLİ YÜKLEYİCİ	Caterpillar	950 GC	2020	202 HP	3,3 m3	M5K04651	 E7A32898
45	LASTİKLİ YÜKLEYİCİ	Caterpillar	950 GC	2021			M5K05048	E7A39193
46	LASTİKLİ YÜKLEYİCİ	Caterpillar	950 GC	2021			M5K05049	E7A39189
47	YERALTI LASTİKLİ YÜKLEYİCİ	Caterpillar	R1700	2021	269 kW	6,1 m3	KT400261	TXX04125
48	LASTİKLİ YÜKLEYİCİ	Caterpillar	950 GC	2025	168 kW	3,3 m3	M5T07982	TY704046
49	LASTİKLİ YÜKLEYİCİ	Caterpillar	950 GC	2025	168 kW	3,3 m3	M5T08320	TY705508
50	LASTİKLİ YÜKLEYİCİ	Caterpillar	950 GC	2020	168 kW	3,3 m3	M5K04602	E7A32324
51	LASTİKLİ YÜKLEYİCİ	Kawasaki 	70 ZV 2	2007	144 kW	3.25m3	70C5-9032	26503897
52	LASTİKLİ YÜKLEYİCİ	Caterpillar	950 GC	2021	168 kW	3,3 m3	M5K05130	E7A41176
53	LASTİKLİ YÜKLEYİCİ	Kawasaki 	85 Z V-II	2006	157 kW	4.4m3	   85C5-9011	26850481
54	LASTİKLİ YÜKLEYİCİ	Volvo	L 120F	2016	179 kW		27539	11878061
55	YERALTI LASTİKLİ YÜKLEYİCİ	Sandvik	LH 410	2023	210 kW		SLHL410DLPB0A1120	7008607993
56	YERALTI LASTİKLİ YÜKLEYİCİ	Sandvik	LH 410	2023	210 kW		SLHL410DEPB0A1122	7008617090
57	LASTİKLİ YÜKLEYİCİ	Volvo	L180G	2012	245 kW	4,1 m3	19556	328861
58	LASTİKLİ YÜKLEYİCİ	Volvo	L 120GZ	2022	180 kW	3 m3	672335	12823525
59	LASTİKLİ YÜKLEYİCİ	Volvo	L 120GZ	2022	180 kW	3 m3	672356	12823519
60	LASTİKLİ YÜKLEYİCİ	Volvo	L 120GZ	2022	180 kW	3 m3	672253	12768924
61	LASTİKLİ YÜKLEYİCİ	Caterpillar	950 GC				M5T08146	TY704969
62	EKSKAVATÖR	Hitachi	Zaxis 225 USLC-3	2008	122 kW	24900 kg	HCM1U400T00208641	433409
63	EKSKAVATÖR	Caterpillar	329D	2012	152 kW	28600 kg	TZL00206	KHX43769
64	LASTİKLİ EKSKAVATÖR	Caterpillar	M313D	2012	102 kW	14300 kg	W3H05760	C4E23633
65	EKSKAVATÖR	Hitachi	Zaxis 130-3	2014	69 kW	14000 kg	HCM1SV00P00095836	172339
66	EKSKAVATÖR	Sumitomo	160 SH-5	2015	89,2 kW	18700 kg	SMT160A5H00BH1296	
67	LASTİKLİ EKSKAVATÖR	Hidromek	HMK 140W-3	2018	92 kW	16250 kg	J120007	4JJ1-166729
68	LASTİKLİ EKSKAVATÖR	Hidromek	HMK 140W-3	2021	92 kW	16750 kg	M1202010	4JJ1-608528
69	LASTİKLİ EKSKAVATÖR	Hidromek	HMK 140W-3	2021	92 kW	112 m3/h	M1202013	4JJ1-608539
70	LASTİKLİ EKSKAVATÖR	Hidromek	HMK 140W-3	2021	92 kW	112 m3/h	M1202016	4JJ1-618089
71	EKSKAVATÖR	Hidromek	HMK 145LC SR-3	2021	73,1 kW	113 m3/h	M1412027	4JJ1-621621
72	EKSKAVATÖR	Hidromek	HMK 140LC-3	2021	73,1 kW	104 m3/h	M1302120	4JJ1-621661
73	EKSKAVATÖR	Hidromek	HMK 230 LC TX-3A	2022	120 kW		HMKH3460HN1343121	
74	EKSKAVATÖR	Hidromek	HMK 140W-3	2022			HMKH2050VN1202025	4JJ1-633122
75	EKSKAVATÖR	Hidromek	HMK 145LC SR-3	2022	73 kW		HMKH4150TN1412052	4JJ1-639229
76	EKSKAVATÖR	Sumitomo	160 SH-5	2015	89,2 kW	18700 kg	SMT160A5H00BH1294	187235
77	EKSKAVATÖR	Hitachi	Zaxis 160 LC-3	2011	82,2 kW		HCM1T100L00011416	124414
78	EKSKAVATÖR	Sumitomo	160 SH-5	2015	89,2 kW	18700 kg	SMT160A5H00BH1298	
79	EKSKAVATÖR	Yanmar	SV 26	2022	17,6 kW	2740 kg	YCE0SV26TCCB04662	L4352
80	EKSKAVATÖR	Hitachi	ZX 280 LCH-3	2008	140 kW	29500 kg	HCM1VA00P00032090	435929
81	MİNİ EKSKAVATÖR	Caterpillar	303.5D CR 	2011	23,2 kW		0RHP01267	0S3Q17584
82	MİNİ EKSKAVATÖR	Caterpillar	301.8 CC	2010	14 kW		JSB05286	0205012
83	EKSKAVATÖR	Hidromek	HMK 145LC SR-3	2022	73 kW		HMKH4150TN1412049	4JJ1-638572
84	EKSKAVATÖR	Hidromek	HMK 140W-3	2022	92 kW		HMKH2050AN1202026	4JJ1-633119
85	EKSKAVATÖR	Hidromek	HMK 230 LC TX-3A	2023	120 kW		HMKH3460PN1343318	4HK1-840199
86	EKSKAVATÖR	Hidromek	HMK 390LC-3 HD	2023	210 kW		HMKH3750CP1372022	6HK1980021
87	EKSKAVATÖR	Hidromek	HMK 390LC-3 HD	2023	210 kW		HMKH3750CN1372205	6HK1977788
88	MİNİ EKSKAVATÖR	Yanmar	SV 26	2023	17,6 kW	2740 kg	YCE0SV26ADCB18622	N2114
89	MİNİ EKSKAVATÖR	Yanmar	SV 26	2023	17,6 kW	2740 kg	YCE0SV26PDCB18628	N2120
90	MİNİ EKSKAVATÖR	Yanmar	SV 26	2024	17,6 kW	2750 kg	YCE0SV26JECB09318	N8179
91	EKSKAVATÖR	Caterpillar	324 DL	2013	140 kW	25400 kg	GPK00269	KHX48600
92	EKSKAVATÖR	Hidromek	HMK 300 LC-3	2017	161 kW	31915 kg	H125217	6HK1-599874
93	EKSKAVATÖR	Hidromek	HMK 300 LC-3	2017	161 kW	31915 kg	H125218	6HK1-599762
94	EKSKAVATÖR	Hidromek	HMK 230 LC TX-3A	2024	120 kW	25300 kg	HMKH3460LP1343041	4HK1-842457
95	EKSKAVATÖR	Hidromek	HMK 230 LC TX-3A	2025	128 kW	25550 kg	HMKH3480JS1345601	 4HK1-884305
96	KAZICI YÜKLEYİCİ	Volvo 	BM 6300	2003			6300V2766	-
97	KAZICI YÜKLEYİCİ	Hidromek	HMK 102B	2017	74,5 kW	9080 kg	HMK102BHA2B062904	NM75621U288930C
98	KAZICI YÜKLEYİCİ	Hidromek	HMK 102B	2018	74,5 kW	9080 kg	HMK102BJV2B063391	
99	KAZICI YÜKLEYİCİ	Hidromek	HMK 102S	2020	74,5 kW	9450 kg	HMK102SKJ2S093044	NM75621U327012E
100	KAZICI YÜKLEYİCİ	Hidromek	HMK 102S	2021	74,5 kW		HMK102SML2S093746	NM75621U341839G
101	KAZICI YÜKLEYİCİ	New Holland	B115B	2021	82 kW		ANKB115BAMBH00069	001835970
102	KAZICI YÜKLEYİCİ	New Holland	B110B	2021	82 kW		ANKB110BLMBH00051	001795294
103	KAZICI YÜKLEYİCİ	Hidromek	HMK 102S	2021			HMK102SMJ2S094258	NM75621U351044G
104	KAZICI YÜKLEYİCİ	Hidromek	HMK 102S	2022	74,5 kW		HMK102SNA2S094614	NM75621U354746G
105	KAZICI YÜKLEYİCİ	Hidromek	HMK 102S	2022	74,5 kW		HMK102SNE2S094665	NM75621U355549G
106	KAZICI YÜKLEYİCİ	Hidromek	HMK 102S	2022	74,5 kW		HMK102SNT2S094992	NM75621U360405H
107	KAZICI YÜKLEYİCİ	Hidromek	HMK 102S	2022	74,5 kW		HMK102SNP2S094993	NM75621U360403H
108	KAZICI YÜKLEYİCİ	Massey Ferguson	MF 285	1983			56TU27501774	LD22784T1701K23601774
109	KAZICI YÜKLEYİCİ	Hidromek	HMK 102B	2020	74,5 kW		HMK102BLE2B260696	NM75621U337749F
110	KAZICI YÜKLEYİCİ	Hidromek	HMK 102S	2023	74,4 kW		HMK102SPJ2S360128	FX52016U016933H
111	KIRICILAR	Montebert	250	1999		652 kg.	-	
112	KIRICILAR	Montebert 	250	2003		651 kg.	-	
113	KIRICILAR	Rammer	S25	2007		425 kg	25BCB2389	
114	KIRICILAR	Sandvik/Rammer (Vega)	VB 7 BL (BR 777)	2014		350 kg	777A1209	
115	KIRICILAR	Sandvik/Rammer	BR 1533	2014		870 kg	B0401	
116	HİDROLİK KIRICILAR	Sandvik/Rammer	BR 1533	2015		870 kg	B0437	
117	HİDROLİK KIRICILAR	Sandvik/Rammer	BR 1533	2015		870 kg	B0438	
118	HİDROLİK KIRICILAR	Sandvik/Rammer	BR 1533	2015		870 kg	B0467	
119	HİDROLİK KIRICILAR	Sandvik/Rammer	BR 3288	2015		2400 kg	A1263	
120	HİDROLİK KIRICILAR	Sandvik/Rammer	BR 1533	2017		870 kg	B0551	
121	HİDROLİK KIRICILAR	Sandvik/Rammer	BR 2577	2017		1760 kg	A1038	
122	HİDROLİK KIRICILAR	Sandvik/Rammer	BR 2577	2017		1760 kg	A1039	
123	HİDROLİK KIRICILAR	Sandvik/Rammer	BR 1533	2018		870 kg	B0557	
124	HİDROLİK KIRICILAR	Sandvik/Rammer	BR 1533	2018		870 kg	B0564	
125	HİDROLİK KIRICILAR	Vega	VB5	2018			555AX1440	
126	HİDROLİK KIRICILAR	Vega	VB 7 BL (BR 777)	2020		350 kg	A1408	
127	HİDROLİK KIRICILAR	Vega	VB 7 BL (BR 777)	2020		350 kg	A1409	
128	HİDROLİK KIRICILAR	Sandvik/Rammer	BR 1533	2021		870 kg	B0566	
129	HİDROLİK KIRICILAR	Sandvik/Rammer	BR 1533	2021		870 kg	B0567	
130	HİDROLİK KIRICILAR	Vega	VB 7 BL (BR 777)	2021		350 kg	A1431	
131	HİDROLİK KIRICILAR	Vega	VB 7 BL (BR 777)	2021		350 kg	A1440	
132	HİDROLİK KIRICILAR	Vega	VB 77 T	2021		272 kg	B651099	
133	HİDROLİK KIRICILAR	Vega	VB 150 (SB50)	2021		900 kg	14815 (16223)	
134	HİDROLİK KIRICILAR	Vega	VB 150 (SB50)	2022		900 kg	14797 (16221)	
135	HİDROLİK KIRICILAR	Vega	VB 77 T	2022		320 kg	B651035	
136	HİDROLİK KIRICILAR	Vega	VB 77 T	2022		320 kg	B651100	
137	HİDROLİK KIRICILAR	Vega	VB 77 T	2022		320 kg	B651020	
138	HİDROLİK KIRICILAR	İnan Makine	MTB 15				12N212	
139	HİDROLİK KIRICILAR	Vega	VB 77 T	2022		320 kg	B651058	
140	HİDROLİK KIRICILAR	Vega	VB 171	2025		1250 kg	HD 1003	
141	HİDROLİK KIRICILAR	Vega	VB 7 BL (BR 777)	2020		385	A1430	
142	HİDROLİK KIRICILAR	Fine	4X	2022		160	F4A 475	
143	HİDROLİK KIRICILAR	Fine	4X	2022		160	F4A 071	
144	HİDROLİK KIRICILAR	Fine	4X	2022		160	F4A 478	
145	HİDROLİK KIRICILAR	Vega	VB 170 (SB60)	2022		1.300 kg	2853	
146	HİDROLİK KIRICILAR	Sandvik/Rammer	BR 2155	2014		1240 kg	B0759	
147	HİDROLİK KIRICILAR	Sandvik/Rammer	BR 2577	2015		1760 kg	BD0127	
148	HİDROLİK KIRICILAR	Sandvik	BR 315	2015		160 kg	15181094	
149	HİDROLİK KIRICILAR	Vega	VB 7 BL (BR 777)	2019		350 kg	A1340	
150	HİDROLİK KIRICILAR	Vega	VB 7 BL (BR 777)	2021		350 kg	A1403	
151	HİDROLİK KIRICILAR	Rammer	BR 1533	2021		870 kg	B0615	
152	HİDROLİK KIRICILAR	Vega	VB 150 (SB50)	2021		900 kg	14790 (16125)	
153	HİDROLİK KIRICILAR	Vega	VB 150 (SB50)	2021		900 kg	14793 (16187)	
154	HİDROLİK KIRICILAR	Vega	VB 150 (SB50)	2021		900 kg	14809 (….....)	
155	HİDROLİK KIRICILAR	Fine	4X	2023			SY-30-2107049	
156	HİDROLİK KIRICILAR	Fine	4X	2023			SY-30-2107051	
157	HİDROLİK KIRICILAR	Fine	4X	2023			SY-30-2107101	
158	HİDROLİK KIRICILAR	Vega	VB 171	2025		1250 kg	VB171HD1001 (HD 1001)	
159	HİDROLİK KIRICILAR	Vega	VB 171	2025		1250 kg	VB171HD1002 (HD 1002)	
160	MİNİ YÜKLEYİCİ	Caterpillar	246 B	2007	59,3 kW		BPPAT5298	CJS36873
161	MİNİ YÜKLEYİCİ	Hyundai	600 HSL		32,1 kW			
162	KAMYON	Mercedes	AXOR 3028K 6X4	2007	314 HP	20 m3	NMB37537312064333	90692100670752
163	KAMYON	Mercedes	AXOR 3028K 6X4	2008	280 HP	20 m3	NMB37537312068064	90692100699077
164	YERALTI KAMYONU	GHH	MK-A 40	1992	309 kW	40 ton	2389/1	37865930904101
165	KAMYON	Mitsubishi	Canter TF B75 MT	2013	110 kw	7500 kg	NLTFEB91E01000284	1706534
166	KAMYON	Mercedes	AXOR 3028K 6X4	2007	280 HP	20 m3	NMB37537312063830	90692100667081
167	KAMYON	MAN	TGS 33.420 6X4 BB M Otm.	2018	420 HP	11,5 m3	WMA26SZZ5JM757025	51548323034833
168	KAMYON	MAN	TGS 33.420 6X4 BB M Otm.	2018	420 HP	11,5 m3	WMA26SZZ0JM757028	51548323084833
169	KAMYON	MAN	TGS 33.420 6X4 BB M Otm.	2018	420 HP	11,5 m3	WMA26SZZ5JM757428	51548352094833
